Shot Number,Number of events (secondary e.),Anode ID,Electrons in wire,Gas amplification  coefficient
73,1,0,0,3
73,1,1,0,3
73,1,2,0,3
73,1,3,0,3
73,1,4,0,3
73,1,5,0,3
73,1,6,0,3
73,1,7,0,3
73,1,8,0,3
73,1,9,0,3
73,1,10,0,3
73,1,11,0,3
73,1,12,0,3
73,1,13,0,3
73,1,14,0,3
73,1,15,0,3
73,1,16,0,3
73,1,17,0,3
73,1,18,0,3
73,1,19,0,3
73,1,20,0,3
73,1,21,0,3
73,1,22,0,3
73,1,23,0,3
73,1,24,0,3
73,1,25,0,3
73,1,26,0,3
73,1,27,0,3
73,1,28,0,3
73,1,29,0,3
73,1,30,0,3
73,1,31,0,3
73,1,32,0,3
73,1,33,0,3
73,1,34,0,3
73,1,35,0,3
73,1,36,0,3
73,1,37,0,3
73,1,38,0,3
73,1,39,3,3
73,1,40,0,3
73,1,41,0,3
73,1,42,0,3
73,1,43,0,3
73,1,44,0,3
73,1,45,0,3
73,1,46,0,3
73,1,47,0,3
73,1,48,0,3
73,1,49,0,3
73,1,50,0,3
73,1,51,0,3
73,1,52,0,3
73,1,53,0,3
73,1,54,0,3
73,1,55,0,3
73,1,56,0,3
73,1,57,0,3
73,1,58,0,3
73,1,59,0,3
73,1,60,0,3
73,1,61,0,3
73,1,62,0,3
73,1,63,0,3
73,2,0,0,4
73,2,1,0,4
73,2,2,0,4
73,2,3,0,4
73,2,4,0,4
73,2,5,0,4
73,2,6,0,4
73,2,7,0,4
73,2,8,0,4
73,2,9,0,4
73,2,10,0,4
73,2,11,0,4
73,2,12,0,4
73,2,13,0,4
73,2,14,0,4
73,2,15,0,4
73,2,16,0,4
73,2,17,0,4
73,2,18,0,4
73,2,19,0,4
73,2,20,0,4
73,2,21,0,4
73,2,22,0,4
73,2,23,0,4
73,2,24,0,4
73,2,25,0,4
73,2,26,0,4
73,2,27,0,4
73,2,28,0,4
73,2,29,0,4
73,2,30,0,4
73,2,31,0,4
73,2,32,0,4
73,2,33,0,4
73,2,34,0,4
73,2,35,0,4
73,2,36,0,4
73,2,37,0,4
73,2,38,0,4
73,2,39,8,4
73,2,40,0,4
73,2,41,0,4
73,2,42,0,4
73,2,43,0,4
73,2,44,0,4
73,2,45,0,4
73,2,46,0,4
73,2,47,0,4
73,2,48,0,4
73,2,49,0,4
73,2,50,0,4
73,2,51,0,4
73,2,52,0,4
73,2,53,0,4
73,2,54,0,4
73,2,55,0,4
73,2,56,0,4
73,2,57,0,4
73,2,58,0,4
73,2,59,0,4
73,2,60,0,4
73,2,61,0,4
73,2,62,0,4
73,2,63,0,4
73,3,0,0,3
73,3,1,0,3
73,3,2,0,3
73,3,3,0,3
73,3,4,0,3
73,3,5,0,3
73,3,6,0,3
73,3,7,0,3
73,3,8,0,3
73,3,9,0,3
73,3,10,0,3
73,3,11,0,3
73,3,12,0,3
73,3,13,0,3
73,3,14,0,3
73,3,15,0,3
73,3,16,0,3
73,3,17,0,3
73,3,18,0,3
73,3,19,0,3
73,3,20,0,3
73,3,21,0,3
73,3,22,0,3
73,3,23,0,3
73,3,24,0,3
73,3,25,0,3
73,3,26,0,3
73,3,27,0,3
73,3,28,0,3
73,3,29,0,3
73,3,30,0,3
73,3,31,0,3
73,3,32,0,3
73,3,33,0,3
73,3,34,0,3
73,3,35,0,3
73,3,36,0,3
73,3,37,0,3
73,3,38,0,3
73,3,39,9,3
73,3,40,0,3
73,3,41,0,3
73,3,42,0,3
73,3,43,0,3
73,3,44,0,3
73,3,45,0,3
73,3,46,0,3
73,3,47,0,3
73,3,48,0,3
73,3,49,0,3
73,3,50,0,3
73,3,51,0,3
73,3,52,0,3
73,3,53,0,3
73,3,54,0,3
73,3,55,0,3
73,3,56,0,3
73,3,57,0,3
73,3,58,0,3
73,3,59,0,3
73,3,60,0,3
73,3,61,0,3
73,3,62,0,3
73,3,63,0,3
73,4,0,0,2.75
73,4,1,0,2.75
73,4,2,0,2.75
73,4,3,0,2.75
73,4,4,0,2.75
73,4,5,0,2.75
73,4,6,0,2.75
73,4,7,0,2.75
73,4,8,0,2.75
73,4,9,0,2.75
73,4,10,0,2.75
73,4,11,0,2.75
73,4,12,0,2.75
73,4,13,0,2.75
73,4,14,0,2.75
73,4,15,0,2.75
73,4,16,0,2.75
73,4,17,0,2.75
73,4,18,0,2.75
73,4,19,0,2.75
73,4,20,0,2.75
73,4,21,0,2.75
73,4,22,0,2.75
73,4,23,0,2.75
73,4,24,0,2.75
73,4,25,0,2.75
73,4,26,0,2.75
73,4,27,0,2.75
73,4,28,0,2.75
73,4,29,0,2.75
73,4,30,0,2.75
73,4,31,0,2.75
73,4,32,0,2.75
73,4,33,0,2.75
73,4,34,0,2.75
73,4,35,0,2.75
73,4,36,0,2.75
73,4,37,0,2.75
73,4,38,0,2.75
73,4,39,11,2.75
73,4,40,0,2.75
73,4,41,0,2.75
73,4,42,0,2.75
73,4,43,0,2.75
73,4,44,0,2.75
73,4,45,0,2.75
73,4,46,0,2.75
73,4,47,0,2.75
73,4,48,0,2.75
73,4,49,0,2.75
73,4,50,0,2.75
73,4,51,0,2.75
73,4,52,0,2.75
73,4,53,0,2.75
73,4,54,0,2.75
73,4,55,0,2.75
73,4,56,0,2.75
73,4,57,0,2.75
73,4,58,0,2.75
73,4,59,0,2.75
73,4,60,0,2.75
73,4,61,0,2.75
73,4,62,0,2.75
73,4,63,0,2.75
73,5,0,0,2.4
73,5,1,0,2.4
73,5,2,0,2.4
73,5,3,0,2.4
73,5,4,0,2.4
73,5,5,0,2.4
73,5,6,0,2.4
73,5,7,0,2.4
73,5,8,0,2.4
73,5,9,0,2.4
73,5,10,0,2.4
73,5,11,0,2.4
73,5,12,0,2.4
73,5,13,0,2.4
73,5,14,0,2.4
73,5,15,0,2.4
73,5,16,0,2.4
73,5,17,0,2.4
73,5,18,0,2.4
73,5,19,0,2.4
73,5,20,0,2.4
73,5,21,0,2.4
73,5,22,0,2.4
73,5,23,0,2.4
73,5,24,0,2.4
73,5,25,0,2.4
73,5,26,0,2.4
73,5,27,0,2.4
73,5,28,0,2.4
73,5,29,0,2.4
73,5,30,0,2.4
73,5,31,0,2.4
73,5,32,0,2.4
73,5,33,0,2.4
73,5,34,0,2.4
73,5,35,0,2.4
73,5,36,0,2.4
73,5,37,0,2.4
73,5,38,0,2.4
73,5,39,12,2.4
73,5,40,0,2.4
73,5,41,0,2.4
73,5,42,0,2.4
73,5,43,0,2.4
73,5,44,0,2.4
73,5,45,0,2.4
73,5,46,0,2.4
73,5,47,0,2.4
73,5,48,0,2.4
73,5,49,0,2.4
73,5,50,0,2.4
73,5,51,0,2.4
73,5,52,0,2.4
73,5,53,0,2.4
73,5,54,0,2.4
73,5,55,0,2.4
73,5,56,0,2.4
73,5,57,0,2.4
73,5,58,0,2.4
73,5,59,0,2.4
73,5,60,0,2.4
73,5,61,0,2.4
73,5,62,0,2.4
73,5,63,0,2.4
73,6,0,0,2.33333
73,6,1,0,2.33333
73,6,2,0,2.33333
73,6,3,0,2.33333
73,6,4,0,2.33333
73,6,5,0,2.33333
73,6,6,0,2.33333
73,6,7,0,2.33333
73,6,8,0,2.33333
73,6,9,0,2.33333
73,6,10,0,2.33333
73,6,11,0,2.33333
73,6,12,0,2.33333
73,6,13,0,2.33333
73,6,14,0,2.33333
73,6,15,0,2.33333
73,6,16,0,2.33333
73,6,17,0,2.33333
73,6,18,0,2.33333
73,6,19,0,2.33333
73,6,20,0,2.33333
73,6,21,0,2.33333
73,6,22,0,2.33333
73,6,23,0,2.33333
73,6,24,0,2.33333
73,6,25,0,2.33333
73,6,26,0,2.33333
73,6,27,0,2.33333
73,6,28,0,2.33333
73,6,29,0,2.33333
73,6,30,0,2.33333
73,6,31,0,2.33333
73,6,32,0,2.33333
73,6,33,0,2.33333
73,6,34,0,2.33333
73,6,35,0,2.33333
73,6,36,0,2.33333
73,6,37,0,2.33333
73,6,38,0,2.33333
73,6,39,14,2.33333
73,6,40,0,2.33333
73,6,41,0,2.33333
73,6,42,0,2.33333
73,6,43,0,2.33333
73,6,44,0,2.33333
73,6,45,0,2.33333
73,6,46,0,2.33333
73,6,47,0,2.33333
73,6,48,0,2.33333
73,6,49,0,2.33333
73,6,50,0,2.33333
73,6,51,0,2.33333
73,6,52,0,2.33333
73,6,53,0,2.33333
73,6,54,0,2.33333
73,6,55,0,2.33333
73,6,56,0,2.33333
73,6,57,0,2.33333
73,6,58,0,2.33333
73,6,59,0,2.33333
73,6,60,0,2.33333
73,6,61,0,2.33333
73,6,62,0,2.33333
73,6,63,0,2.33333
73,7,0,0,2.85714
73,7,1,0,2.85714
73,7,2,0,2.85714
73,7,3,0,2.85714
73,7,4,0,2.85714
73,7,5,0,2.85714
73,7,6,0,2.85714
73,7,7,0,2.85714
73,7,8,0,2.85714
73,7,9,0,2.85714
73,7,10,0,2.85714
73,7,11,0,2.85714
73,7,12,0,2.85714
73,7,13,0,2.85714
73,7,14,0,2.85714
73,7,15,0,2.85714
73,7,16,0,2.85714
73,7,17,0,2.85714
73,7,18,0,2.85714
73,7,19,0,2.85714
73,7,20,0,2.85714
73,7,21,0,2.85714
73,7,22,0,2.85714
73,7,23,0,2.85714
73,7,24,0,2.85714
73,7,25,0,2.85714
73,7,26,0,2.85714
73,7,27,0,2.85714
73,7,28,0,2.85714
73,7,29,0,2.85714
73,7,30,0,2.85714
73,7,31,0,2.85714
73,7,32,0,2.85714
73,7,33,0,2.85714
73,7,34,0,2.85714
73,7,35,0,2.85714
73,7,36,0,2.85714
73,7,37,0,2.85714
73,7,38,0,2.85714
73,7,39,20,2.85714
73,7,40,0,2.85714
73,7,41,0,2.85714
73,7,42,0,2.85714
73,7,43,0,2.85714
73,7,44,0,2.85714
73,7,45,0,2.85714
73,7,46,0,2.85714
73,7,47,0,2.85714
73,7,48,0,2.85714
73,7,49,0,2.85714
73,7,50,0,2.85714
73,7,51,0,2.85714
73,7,52,0,2.85714
73,7,53,0,2.85714
73,7,54,0,2.85714
73,7,55,0,2.85714
73,7,56,0,2.85714
73,7,57,0,2.85714
73,7,58,0,2.85714
73,7,59,0,2.85714
73,7,60,0,2.85714
73,7,61,0,2.85714
73,7,62,0,2.85714
73,7,63,0,2.85714
73,8,0,0,2.625
73,8,1,0,2.625
73,8,2,0,2.625
73,8,3,0,2.625
73,8,4,0,2.625
73,8,5,0,2.625
73,8,6,0,2.625
73,8,7,0,2.625
73,8,8,0,2.625
73,8,9,0,2.625
73,8,10,0,2.625
73,8,11,0,2.625
73,8,12,0,2.625
73,8,13,0,2.625
73,8,14,0,2.625
73,8,15,0,2.625
73,8,16,0,2.625
73,8,17,0,2.625
73,8,18,0,2.625
73,8,19,0,2.625
73,8,20,0,2.625
73,8,21,0,2.625
73,8,22,0,2.625
73,8,23,0,2.625
73,8,24,0,2.625
73,8,25,0,2.625
73,8,26,0,2.625
73,8,27,0,2.625
73,8,28,0,2.625
73,8,29,0,2.625
73,8,30,0,2.625
73,8,31,0,2.625
73,8,32,0,2.625
73,8,33,0,2.625
73,8,34,0,2.625
73,8,35,0,2.625
73,8,36,0,2.625
73,8,37,0,2.625
73,8,38,0,2.625
73,8,39,21,2.625
73,8,40,0,2.625
73,8,41,0,2.625
73,8,42,0,2.625
73,8,43,0,2.625
73,8,44,0,2.625
73,8,45,0,2.625
73,8,46,0,2.625
73,8,47,0,2.625
73,8,48,0,2.625
73,8,49,0,2.625
73,8,50,0,2.625
73,8,51,0,2.625
73,8,52,0,2.625
73,8,53,0,2.625
73,8,54,0,2.625
73,8,55,0,2.625
73,8,56,0,2.625
73,8,57,0,2.625
73,8,58,0,2.625
73,8,59,0,2.625
73,8,60,0,2.625
73,8,61,0,2.625
73,8,62,0,2.625
73,8,63,0,2.625
73,9,0,0,2.66667
73,9,1,0,2.66667
73,9,2,0,2.66667
73,9,3,0,2.66667
73,9,4,0,2.66667
73,9,5,0,2.66667
73,9,6,0,2.66667
73,9,7,0,2.66667
73,9,8,0,2.66667
73,9,9,0,2.66667
73,9,10,0,2.66667
73,9,11,0,2.66667
73,9,12,0,2.66667
73,9,13,0,2.66667
73,9,14,0,2.66667
73,9,15,0,2.66667
73,9,16,0,2.66667
73,9,17,0,2.66667
73,9,18,0,2.66667
73,9,19,0,2.66667
73,9,20,0,2.66667
73,9,21,0,2.66667
73,9,22,0,2.66667
73,9,23,0,2.66667
73,9,24,0,2.66667
73,9,25,0,2.66667
73,9,26,0,2.66667
73,9,27,0,2.66667
73,9,28,0,2.66667
73,9,29,0,2.66667
73,9,30,0,2.66667
73,9,31,0,2.66667
73,9,32,0,2.66667
73,9,33,0,2.66667
73,9,34,0,2.66667
73,9,35,0,2.66667
73,9,36,0,2.66667
73,9,37,0,2.66667
73,9,38,0,2.66667
73,9,39,24,2.66667
73,9,40,0,2.66667
73,9,41,0,2.66667
73,9,42,0,2.66667
73,9,43,0,2.66667
73,9,44,0,2.66667
73,9,45,0,2.66667
73,9,46,0,2.66667
73,9,47,0,2.66667
73,9,48,0,2.66667
73,9,49,0,2.66667
73,9,50,0,2.66667
73,9,51,0,2.66667
73,9,52,0,2.66667
73,9,53,0,2.66667
73,9,54,0,2.66667
73,9,55,0,2.66667
73,9,56,0,2.66667
73,9,57,0,2.66667
73,9,58,0,2.66667
73,9,59,0,2.66667
73,9,60,0,2.66667
73,9,61,0,2.66667
73,9,62,0,2.66667
73,9,63,0,2.66667
73,10,0,0,2.5
73,10,1,0,2.5
73,10,2,0,2.5
73,10,3,0,2.5
73,10,4,0,2.5
73,10,5,0,2.5
73,10,6,0,2.5
73,10,7,0,2.5
73,10,8,0,2.5
73,10,9,0,2.5
73,10,10,0,2.5
73,10,11,0,2.5
73,10,12,0,2.5
73,10,13,0,2.5
73,10,14,0,2.5
73,10,15,0,2.5
73,10,16,0,2.5
73,10,17,0,2.5
73,10,18,0,2.5
73,10,19,0,2.5
73,10,20,0,2.5
73,10,21,0,2.5
73,10,22,0,2.5
73,10,23,0,2.5
73,10,24,0,2.5
73,10,25,0,2.5
73,10,26,0,2.5
73,10,27,0,2.5
73,10,28,0,2.5
73,10,29,0,2.5
73,10,30,0,2.5
73,10,31,0,2.5
73,10,32,0,2.5
73,10,33,0,2.5
73,10,34,0,2.5
73,10,35,0,2.5
73,10,36,0,2.5
73,10,37,0,2.5
73,10,38,0,2.5
73,10,39,25,2.5
73,10,40,0,2.5
73,10,41,0,2.5
73,10,42,0,2.5
73,10,43,0,2.5
73,10,44,0,2.5
73,10,45,0,2.5
73,10,46,0,2.5
