Shot Number,Number of events (secondary e.),Anode ID,Electrons in wire,Gas amplification  coefficient
73,1,0,0,56
73,1,1,0,56
73,1,2,0,56
73,1,3,0,56
73,1,4,0,56
73,1,5,0,56
73,1,6,0,56
73,1,7,0,56
73,1,8,0,56
73,1,9,0,56
73,1,10,0,56
73,1,11,0,56
73,1,12,0,56
73,1,13,0,56
73,1,14,0,56
73,1,15,0,56
73,1,16,0,56
73,1,17,0,56
73,1,18,0,56
73,1,19,0,56
73,1,20,0,56
73,1,21,0,56
73,1,22,0,56
73,1,23,0,56
73,1,24,0,56
73,1,25,0,56
73,1,26,0,56
73,1,27,0,56
73,1,28,0,56
73,1,29,0,56
73,1,30,0,56
73,1,31,0,56
73,1,32,0,56
73,1,33,0,56
73,1,34,0,56
73,1,35,0,56
73,1,36,0,56
73,1,37,0,56
73,1,38,0,56
73,1,39,56,56
73,1,40,0,56
73,1,41,0,56
73,1,42,0,56
73,1,43,0,56
73,1,44,0,56
73,1,45,0,56
73,1,46,0,56
73,1,47,0,56
73,1,48,0,56
73,1,49,0,56
73,1,50,0,56
73,1,51,0,56
73,1,52,0,56
73,1,53,0,56
73,1,54,0,56
73,1,55,0,56
73,1,56,0,56
73,1,57,0,56
73,1,58,0,56
73,1,59,0,56
73,1,60,0,56
73,1,61,0,56
73,1,62,0,56
73,1,63,0,56
73,2,0,0,48.5
73,2,1,0,48.5
73,2,2,0,48.5
73,2,3,0,48.5
73,2,4,0,48.5
73,2,5,0,48.5
73,2,6,0,48.5
73,2,7,0,48.5
73,2,8,0,48.5
73,2,9,0,48.5
73,2,10,0,48.5
73,2,11,0,48.5
73,2,12,0,48.5
73,2,13,0,48.5
73,2,14,0,48.5
73,2,15,0,48.5
73,2,16,0,48.5
73,2,17,0,48.5
73,2,18,0,48.5
73,2,19,0,48.5
73,2,20,0,48.5
73,2,21,0,48.5
73,2,22,0,48.5
73,2,23,0,48.5
73,2,24,0,48.5
73,2,25,0,48.5
73,2,26,0,48.5
73,2,27,0,48.5
73,2,28,0,48.5
